"Date","Price","Open","High","Low","Vol.","Change %"
"11/04/2016","178.71","179.11","179.67","178.64","4.34M","-0.22%"
"11/07/2016","182.36","181.17","182.45","181.05","3.40M","2.04%"
"11/08/2016","183.38","182.20","184.04","182.02","3.44M","0.56%"
"11/09/2016","185.96","181.93","186.55","181.75","8.36M","1.41%"
"11/10/2016","188.13","186.83","188.82","186.35","8.75M","1.17%"
"11/11/2016","188.47","187.95","188.63","187.41","5.00M","0.18%"
"11/14/2016","188.77","189.11","189.39","188.20","4.80M","0.16%"
"11/15/2016","189.34","188.76","189.35","188.14","3.75M","0.30%"
"11/16/2016","188.98","188.79","189.18","188.53","3.46M","-0.19%"
"11/17/2016","189.30","189.09","189.33","188.74","4.21M","0.17%"
"11/18/2016","188.46","188.90","188.96","188.32","4.36M","-0.44%"
"11/21/2016","189.34","188.88","189.41","188.60","3.00M","0.47%"
"11/22/2016","190.02","189.92","190.25","189.42","2.76M","0.36%"
"11/23/2016","190.59","189.93","190.64","189.87","2.47M","0.30%"
"11/25/2016","191.30","191.09","191.34","190.98","1.55M","0.37%"
"11/28/2016","190.78","190.93","191.21","190.52","3.16M","-0.27%"
"11/29/2016","191.19","190.83","191.42","190.68","2.26M","0.21%"
"11/30/2016","191.40","191.97","192.25","191.34","4.77M","0.11%"
"12/01/2016","191.90","191.84","192.16","191.57","8.32M","0.26%"
"12/02/2016","191.74","191.91","191.98","191.43","2.77M","-0.08%"
"12/05/2016","192.22","192.48","192.78","191.89","2.93M","0.25%"
"12/06/2016","192.49","192.16","192.57","191.87","2.67M","0.14%"
"12/07/2016","195.48","192.47","195.69","192.42","7.24M","1.55%"
"12/08/2016","196.28","195.83","196.80","195.41","7.03M","0.41%"
"12/09/2016","197.69","196.44","197.72","196.37","4.39M","0.72%"
"12/12/2016","198.08","197.84","198.39","197.68","3.79M","0.20%"
"12/13/2016","199.23","198.96","199.72","198.64","5.36M","0.58%"
"12/14/2016","198.14","198.97","199.83","197.61","7.46M","-0.55%"
"12/15/2016","198.66","198.54","199.68","198.34","6.03M","0.26%"
"12/16/2016","198.19","198.70","198.97","197.94","4.47M","-0.24%"
"12/19/2016","198.60","198.30","198.90","198.21","2.73M","0.21%"
"12/20/2016","199.42","199.16","199.61","199.06","3.06M","0.41%"
"12/21/2016","199.16","199.43","199.61","199.14","2.52M","-0.13%"
"12/22/2016","198.97","199.10","199.17","198.58","2.25M","-0.10%"
"12/23/2016","199.05","198.96","199.06","198.73","1.37M","0.04%"
"12/27/2016","199.21","199.16","199.54","199.13","2.34M","0.08%"
"12/28/2016","198.08","199.52","199.56","198.00","3.82M","-0.57%"
"12/29/2016","197.99","197.99","198.52","197.63","3.02M","-0.05%"
"12/30/2016","197.51","198.25","198.27","196.92","4.28M","-0.24%"
"01/03/2017","198.42","198.91","199.10","197.48","6.67M","0.46%"
"01/04/2017","199.15","198.76","199.36","198.60","4.82M","0.37%"
"01/05/2017","198.75","198.95","199.26","197.90","4.12M","-0.20%"
"01/06/2017","199.51","198.73","199.83","198.17","4.32M","0.38%"
"01/09/2017","198.76","199.09","199.27","198.75","2.30M","-0.38%"
"01/10/2017","198.40","198.72","199.41","198.21","3.03M","-0.18%"
"01/11/2017","199.33","198.63","199.57","198.15","5.21M","0.47%"
"01/12/2017","198.75","198.88","198.91","197.53","3.87M","-0.29%"
"01/13/2017","198.70","198.91","199.35","198.32","3.47M","-0.03%"
"01/17/2017","198.09","198.27","198.65","197.59","3.33M","-0.31%"
"01/18/2017","197.95","198.08","198.23","197.30","4.63M","-0.07%"
"01/19/2017","197.28","198.03","198.16","196.69","3.05M","-0.34%"
"01/20/2017","197.96","197.53","198.20","197.31","7.00M","0.34%"
"01/23/2017","197.78","197.86","198.11","197.04","3.25M","-0.09%"
"01/24/2017","198.84","197.79","199.22","197.62","5.21M","0.54%"
"01/25/2017","200.42","200.01","200.55","199.75","4.88M","0.79%"
"01/26/2017","200.72","200.60","200.97","200.42","4.00M","0.15%"
"01/27/2017","200.63","200.69","200.87","200.45","3.58M","-0.04%"
"01/30/2017","199.38","199.83","199.90","198.42","4.72M","-0.62%"
"01/31/2017","198.36","198.72","198.89","197.56","4.63M","-0.51%"
"02/01/2017","198.63","199.13","199.40","198.20","3.68M","0.14%"
"02/02/2017","198.61","198.16","198.97","198.02","2.64M","-0.01%"
"02/03/2017","200.38","199.58","200.57","199.44","4.86M","0.89%"
"02/06/2017","200.28","200.03","200.70","199.78","2.77M","-0.05%"
"02/07/2017","200.58","200.89","201.30","200.43","2.61M","0.15%"
"02/08/2017","200.51","200.50","200.69","200.15","2.29M","-0.03%"
"02/09/2017","201.72","200.82","202.11","200.77","3.49M","0.60%"
"02/10/2017","202.74","202.30","203.00","202.07","2.88M","0.51%"
"02/13/2017","204.20","203.32","204.47","203.32","2.64M","0.72%"
